Designator,Mid X,Mid Y,Layer,Rotation
D1,190.650000mm,-54.750000mm,Top,0
D2,181.950000mm,-54.725000mm,Top,270
D5,190.650000mm,-54.725000mm,Top,270
J1,74.500000mm,-74.220000mm,Top,0
J2,74.641000mm,-98.000000mm,Top,0
R1,183.950000mm,-54.637500mm,Top,270
R2,185.700000mm,-54.637500mm,Top,270
DS0,70.945000mm,-157.897000mm,Top,115
DS1,88.209000mm,-149.845000mm,Top,115
DS2,191.452000mm,-74.625000mm,Top,0
DS3,167.640000mm,-74.625000mm,Top,0
DS4,148.590000mm,-71.448000mm,Top,0
DS5,129.540000mm,-69.850000mm,Top,0
DS6,110.490000mm,-71.448000mm,Top,0
DS7,91.440000mm,-72.720000mm,Top,0
DS8,80.010000mm,-65.100000mm,Top,90
DS9,191.452000mm,-93.673000mm,Top,0
DS10,167.640000mm,-93.673000mm,Top,0
DS11,148.590000mm,-90.498000mm,Top,0
DS12,129.540000mm,-88.900000mm,Top,0
DS13,110.490000mm,-90.498000mm,Top,0
DS14,91.440000mm,-91.768000mm,Top,0
DS15,80.010000mm,-88.910000mm,Top,90
DS16,191.452000mm,-112.723000mm,Top,0
DS17,167.640000mm,-112.723000mm,Top,0
DS18,148.590000mm,-109.548000mm,Top,0
DS19,129.540000mm,-107.950000mm,Top,0
DS20,110.490000mm,-109.548000mm,Top,0
DS21,91.440000mm,-110.818000mm,Top,0
DS22,191.452000mm,-131.773000mm,Top,0
DS23,167.640000mm,-131.773000mm,Top,0
DS24,148.590000mm,-128.598000mm,Top,0
DS25,129.540000mm,-127.000000mm,Top,0
DS26,110.490000mm,-128.598000mm,Top,0
DS27,91.440000mm,-129.868000mm,Top,0
DS28,80.010000mm,-117.485000mm,Top,90
DS29,186.690000mm,-150.823000mm,Top,0
DS30,167.640000mm,-150.823000mm,Top,0
DS31,148.590000mm,-147.648000mm,Top,0
DS32,129.540000mm,-146.050000mm,Top,0
DS33,110.490000mm,-147.648000mm,Top,0
DS34,54.020000mm,-184.706000mm,Top,25
DS35,45.969000mm,-167.439000mm,Top,25
DS36,55.184000mm,-142.126000mm,Top,25
DS37,37.919000mm,-150.175000mm,Top,25
