Designator,Mid X,Mid Y,Layer,Rotation
D1,190.650000mm,-54.750000mm,Top,0
D2,181.950000mm,-54.725000mm,Top,270
D5,190.650000mm,-54.725000mm,Top,270
J1,74.500000mm,-74.220000mm,Top,0
J2,74.641000mm,-98.000000mm,Top,0
R1,183.950000mm,-54.637500mm,Top,270
R2,185.700000mm,-54.637500mm,Top,270
DS1,71.285000mm,-176.654000mm,Top,25
DS2,88.552000mm,-168.605000mm,Top,25
DS3,74.059000mm,-137.526000mm,Top,205
DS4,56.795000mm,-145.578000mm,Top,205
DS5,70.945000mm,-157.897000mm,Top,295
DS6,88.209000mm,-149.845000mm,Top,295
DS7,191.452000mm,-74.625000mm,Top,180
DS8,167.640000mm,-74.625000mm,Top,180
DS9,148.590000mm,-71.448000mm,Top,180
DS10,129.540000mm,-69.850000mm,Top,180
DS11,110.490000mm,-71.448000mm,Top,180
DS12,91.440000mm,-72.720000mm,Top,180
DS13,80.010000mm,-65.100000mm,Top,270
DS14,191.452000mm,-93.673000mm,Top,180
DS15,167.640000mm,-93.673000mm,Top,180
DS16,148.590000mm,-90.498000mm,Top,180
DS17,129.540000mm,-88.900000mm,Top,180
DS18,110.490000mm,-90.498000mm,Top,180
DS19,91.440000mm,-91.768000mm,Top,180
DS20,80.010000mm,-88.910000mm,Top,270
DS21,191.452000mm,-112.723000mm,Top,180
DS22,167.640000mm,-112.723000mm,Top,180
DS23,148.590000mm,-109.548000mm,Top,180
DS24,129.540000mm,-107.950000mm,Top,180
DS25,110.490000mm,-109.548000mm,Top,180
DS26,91.440000mm,-110.818000mm,Top,180
DS27,191.452000mm,-131.773000mm,Top,180
DS28,167.640000mm,-131.773000mm,Top,180
DS29,148.590000mm,-128.598000mm,Top,180
DS30,129.540000mm,-127.000000mm,Top,180
DS31,110.490000mm,-128.598000mm,Top,180
DS32,91.440000mm,-129.868000mm,Top,180
DS33,80.010000mm,-117.485000mm,Top,270
DS34,186.690000mm,-150.823000mm,Top,180
DS35,167.640000mm,-150.823000mm,Top,180
DS36,148.590000mm,-147.648000mm,Top,180
DS37,129.540000mm,-146.050000mm,Top,180
DS38,110.490000mm,-147.648000mm,Top,180
DS39,54.020000mm,-184.706000mm,Top,205
DS40,45.969000mm,-167.439000mm,Top,205
DS41,55.184000mm,-142.126000mm,Top,205
DS42,37.919000mm,-150.175000mm,Top,205
